PSRJ,FREQ,FLUX,FLUX_ERR
J1921+2153, 196.5, 429.9701422141875, 322.478
J1921+2153, 237.0, 186.943540093125, 140.208
J1921+2153, 318.0, 149.55483207449998, 112.166
J1921+2153, 408.0, 134.59934886705, 100.95
J1921+2153, 410.0, 142.077090470775, 71.039
J1921+2153, 430.0, 64.308577792035, 32.154
J1921+2153, 606.0, 37.388708018624996, 18.694
J1921+2153, 630.0, 32.1542888960175, 24.116
J1921+2153, 922.0, 26.1720956130375, 19.629
J1921+2153, 1410.0, 8.2255157640975, 6.169
J1921+2153, 1420.0, 3.7388708018625, 2.804
J1921+2153, 1420.0, 5.2344191226075, 3.926
J1921+2153, 1665.0, 2.2433224811174997, 1.682
J1921+2153, 2295.0, 0.97210640848425, 0.486
J1921+2153, 2650.0, 1.495548320745, 1.122
J1932+1059, 53.0, 278.12267606907, 208.592
J1932+1059, 73.8, 353.1716521512, 264.879
J1932+1059, 111.5, 428.22062823333, 321.165
J1932+1059, 196.5, 362.00094345498, 271.501
J1932+1059, 392.0, 66.21968477835, 49.665
J1932+1059, 408.0, 882.929130378, 662.197
J1932+1059, 430.0, 278.12267606907, 208.592
J1932+1059, 606.0, 141.26866086048, 105.951
J1932+1059, 1420.0, 35.31716521512, 26.488
J1932+1059, 1420.0, 220.7322825945, 165.549
J1932+1059, 1420.0, 119.19543260103, 89.397
J1932+1059, 1665.0, 61.80503912646, 46.354
J1932+1059, 2388.0, 31.785448693608, 23.839
J1932+1059, 2650.0, 26.48787391134, 19.866
J1932+1059, 2700.0, 19.865905433505, 4.966
J1932+1059, 4850.0, 10.153684999347, 7.615
J1932+1059, 8078.0, 3.973181086701, 1.987
J1932+1059, 10690.0, 1.765858260756, 1.324
J1935+1616, 111.5, 91.989034375227, 68.992
J1935+1616, 146.0, 131.01468532229302, 98.261
J1935+1616, 196.5, 220.21617320130102, 165.162
J1935+1616, 410.0, 97.56412736766501, 48.782
J1935+1616, 430.0, 220.21617320130102, 110.108
J1935+1616, 606.0, 200.703347727768, 100.352
J1935+1616, 1420.0, 27.87546496219, 20.907
J1935+1616, 1420.0, 27.87546496219, 13.938
J1935+1616, 1420.0, 25.087918465971, 12.544
J1935+1616, 1420.0, 30.663011458409002, 15.332
J1935+1616, 1665.0, 23.6941452178615, 11.847
J1935+1616, 2388.0, 7.526375539791301, 1.882
J1935+1616, 2388.0, 11.150185984876, 2.788
J2018+2839, 53.0, 96.78226213250998, 24.196
J2018+2839, 73.8, 360.24508682656494, 90.061
J2018+2839, 111.5, 360.24508682656494, 90.061
J2018+2839, 196.5, 369.20640739438994, 92.302
J2018+2839, 410.0, 188.187731924325, 94.094
J2018+2839, 430.0, 170.265090788675, 85.133
J2018+2839, 606.0, 75.27509276973, 37.638
J2018+2839, 1420.0, 17.922641135649997, 13.442
J2018+2839, 1420.0, 7.16905645426, 5.377
J2018+2839, 1420.0, 30.468489930604996, 15.234
J2018+2839, 1665.0, 13.4419808517375, 6.721
J2018+2839, 2388.0, 12.904301617667999, 3.226
J2018+2839, 2388.0, 9.857452624607498, 2.464
J2018+2839, 2700.0, 17.922641135649997, 4.481
J2018+2839, 8078.0, 0.39429810498429996, 0.197
J2022+2854, 327.0, 203.84263293891001, 101.921
J2022+2854, 1420.0, 11.648150453652, 5.824
J2022+2854, 10690.0, 0.72800940335325, 0.546
J2022+5154, 392.0, 132.27590268269998, 99.207
J2022+5154, 410.0, 170.06901773489997, 85.035
J2022+5154, 1420.0, 94.48278763049998, 70.862
J2022+5154, 1420.0, 41.572426557419995, 31.179
J2022+5154, 1665.0, 115.26900090920999, 86.452
J2022+5154, 2388.0, 17.006901773489997, 12.755
J2022+5154, 2700.0, 30.234492041759996, 7.559
J2022+5154, 4850.0, 6.424829558873999, 4.819
J2022+5154, 8078.0, 3.023449204176, 1.512
J2022+5154, 8100.0, 13.983452569313998, 3.496
J2022+5154, 10690.0, 2.4565524783929997, 1.842
J2048-1616, 410.0, 61.17541513968, 30.588
J2048-1616, 1420.0, 9.686107397116, 4.843
J2048-1616, 1665.0, 16.313444037248, 8.157
J2048-1616, 2388.0, 10.19590252328, 2.549
J2048-1616, 2388.0, 8.870435195253599, 2.218
J2048-1616, 2650.0, 9.686107397116, 4.843
