PSRJ,PTA_SRC,REF_SH,GL,GB,P0,P1,DM,DM_ERR,DMEPOCH,RM,RM_ERR,RM_SNG,L_FRAC,L_FRAC_ERR,V_FRAC,V_FRAC_ERR,ABS_V_FRAC,ABS_V_FRAC_ERR,TOA_ERR_NEW,SPIND,SPIND_ERR,NOBS,S1400,S1400_ERR,FLUX_0_VAL,FLUX_1_VAL,FLUX_2_VAL,FLUX_3_VAL,FLUX_4_VAL,FLUX_5_VAL,FLUX_6_VAL,FLUX_7_VAL,FLUX_0_ERR,FLUX_1_ERR,FLUX_2_ERR,FLUX_3_ERR,FLUX_4_ERR,FLUX_5_ERR,FLUX_6_ERR,FLUX_7_ERR,FLUX_0_FRQ,FLUX_1_FRQ,FLUX_2_FRQ,FLUX_3_FRQ,FLUX_4_FRQ,FLUX_5_FRQ,FLUX_6_FRQ,FLUX_7_FRQ
J1603-7202,True,llb+96,316.63,-14.495999999999999,0.014841952252581002,1.5759999999999998e-20,38.0497,0.0008,58986.813775999995,30.009942189192586,0.1381978540059572,False,0.1822312109400581,0.02000435307962195,0.2733885362920594,0.020357534698388104,0.3034913827227299,0.020357534698388104,0.40534386105967385,-2.7,0.3,39,2.46,0.13,7.0,5.8,4.1,3.4,2.8,2.4,1.9,1.7,0.9,0.7,0.5,0.3,0.3,0.3,0.3,0.3,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1614-2230,True,crh+06a,352.63599999999997,20.192,0.0031508076554628,9.617399999999999e-21,34.485,0.0003,59073.718712,-29.12497101996757,0.07848388389258143,False,0.6286812764105725,0.020062310991988103,0.0368108816945835,0.023551861985025083,0.02423479884919629,0.023551861985025083,0.2713448772571433,-1.8,0.2,38,1.14,0.04,2.33,1.93,1.68,1.45,1.28,1.04,0.96,0.89,0.14,0.12,0.11,0.11,0.09,0.08,0.09,0.08,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1618-3921,False,eb01b,340.725,7.888,0.011987308378639998,5.4e-20,117.9312,0.0007,58861.251338,177.49883685947376,0.17515895443702253,False,0.2511782073441547,0.02001620849953113,0.10289004332060532,0.02142549173418974,0.09398381230161312,0.02142549173418974,4.183720161666671,-2.28,0.04,25,0.631,0.006,1.5,1.25,1.05,0.85,0.72,0.61,0.504,0.436,0.02,0.02,0.02,0.02,0.02,0.02,0.015,0.011000000000000001,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1618-4624,False,ccb+20,335.816,2.792,0.005931367495125,4.3600000000000006e-21,125.4068,0.0011,59083.643136,1.6668571428571428,2.4448514050668075,True,0.06252597171202474,0.02112411972084152,0.2270246361159036,0.07476922261727255,0.2205660684411512,0.07476922261727255,4.2555240707190425,-1.8,0.2,7,0.229,0.008,0.43,0.4,0.35,0.3,0.26,0.22,0.18,0.171,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.015,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1622-6617,False,kjb+12,321.978,-11.56,0.023623444740810004,5.45e-20,88.0049,0.0012,58761.334889,9.188214285714286,1.2311802459815695,False,0.0803178674771139,0.02022041159332132,0.08571230720931529,0.03371634202404219,0.06349964676464549,0.03371634202404219,3.795550468685682,-1.7,0.4,6,0.44,0.04,0.86,0.73,0.63,0.57,0.51,0.43,0.44,0.27,0.14,0.1,0.11,0.11,0.11,0.1,0.1,0.07,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1629-6902,True,eb01b,320.371,-13.925999999999998,0.0060006034432283,1.0386e-20,29.4948,0.0002,59220.348562,36.67294540503193,0.14538920897721766,False,0.2673945392458659,0.020024551166575973,-0.025184486996244686,0.02642244325208807,0.06946235745556023,0.02642244325208807,0.3858358771842818,-2.0,0.2,41,1.01,0.04,2.2,1.79,1.54,1.32,1.07,0.99,0.87,0.77,0.2,0.12,0.12,0.1,0.09,0.11,0.09,0.1,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1640+2224,False,fcwa95,41.051,38.271,0.0031633158131799998,2.06e-20,18.428810000000002,0.00011999999999999999,59057.892974,19.071219498603565,2.4591313844093485,False,0.11892806580393578,0.020119376063266317,0.05110540326416039,0.026678722605420226,0.06632765622935545,0.026678722605420226,0.4728847446125902,-2.1,0.6,6,0.46,0.06,2.5,1.2,0.37,0.7,0.29,0.5,0.5,0.5,0.9,0.3,0.07,0.2,0.11,0.2,0.2,0.2,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1643-1224,True,lnl+95,5.669,21.218000000000004,0.0046216415267363,1.851e-20,62.3975,0.0004,59264.02658,-304.28270881004,0.11091275215237607,False,0.1663574943070012,0.02000408782026204,-0.007457612011743286,0.020738457904544625,0.11547628453757715,0.020738457904544625,0.2870574966336813,-2.12,0.03,37,3.78,0.03,8.68,7.11,5.91,5.01,4.21,3.65,3.17,2.66,0.11,0.09,0.08,0.08,0.07,0.07,0.07,0.08,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1652-4838,True,kek+13,338.005,-2.92,0.0037853037550376,1.1226e-20,188.1559,0.0008,59181.405647,-29.501092579946253,0.27535997536486584,False,0.2060402521655688,0.020025955793306183,0.03690869388312748,0.022944390110040902,0.04963356657562384,0.022944390110040902,1.0302773635821652,-1.11,0.07,39,0.917,0.014,1.36,1.27,1.18,1.08,0.99,0.91,0.82,0.74,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1653-2054,True,btb+15,359.969,14.261,0.004129145284605,1.0958e-20,56.5213,0.0003,59167.336351,-4.460358022215504,0.3446606661064764,False,0.18491224106376905,0.02003944919329215,0.030375225103522363,0.02219438619311559,0.033124804281611984,0.02219438619311559,2.2102722362239438,-2.25,0.13,25,0.575,0.014,1.34,1.11,0.95,0.79,0.65,0.56,0.5,0.39,0.1,0.08,0.07,0.06,0.05,0.03,0.03,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1658-5324,True,kcj+12,334.869,-6.625,0.0024392959097881,1.1189e-20,30.8301,0.0006,59220.307475,7.812330357441068,0.4439457447197966,False,0.6362366266994124,0.021932320298659724,-0.026717854373978944,0.0981738716133772,0.027058580603384973,0.0981738716133772,1.1292346452303057,-2.7,0.4,15,0.43,0.04,1.2,1.2,0.66,0.57,0.36,0.5,0.49,0.42,0.2,0.2,0.11,0.06,0.06,0.2,0.13,0.14,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
J1705-1903,True,mbc+19,3.248,13.03,0.0024802913339774,2.1485e-20,57.50473,7e-05,59046.912829999994,-15.571618759196046,0.22359086209981946,False,0.22034167929133347,0.02005090556195744,0.02412969533901807,0.023671690567970537,0.01842229239288309,0.023671690567970537,0.11663220725052105,-1.47,0.11,21,0.575,0.014,0.98,0.89,0.81,0.73,0.65,0.57,0.49,0.43,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,944.609375,1041.578125,1138.546875,1235.515625,1332.484375,1429.453125,1526.421875,1623.390625
