PSRJ,S728,S1382,S3100,class
J1319-6056,7.0 ± 1.0,-,0.29 ± 0.05,pl
J1319-6105,2.3 ± 0.3,-,0.42 ± 0.07,pl
J1320-5359,8.0 ± 1.0,2.1 ± 0.1,0.51 ± 0.05,pl
J1326-5859,45 ± 8,-,3.6 ± 0.7,pl
J1326-6408,11 ± 2,-,0.32 ± 0.05,pl
J1326-6700,-,-,4.0 ± 1.0,pl
J1327-6222,160 ± 30,-,5.0 ± 1.0,broken pl
J1327-6301,13 ± 2,-,1.1 ± 0.2,pl
J1327-6400,0.5 ± 0.2,0.21 ± 0.02,0.081 ± 0.008,pl
J1338-6204,-,-,1.1 ± 0.2,pl
J1341-6023,1.6 ± 0.3,-,< 0.02,-
J1341-6220,< 0.9,2.7 ± 0.1,1.24 ± 0.09,pl
J1345-6115,2.5 ± 0.5,-,0.2 ± 0.04,pl
J1347-5947,2.7 ± 0.5,-,0.14 ± 0.03,pl
J1349-6130,< 1.0,0.76 ± 0.04,0.32 ± 0.02,pl
J1355-5153,< 200.0,-,< 0.3,-
J1356-5521,< 100.0,-,< 0.2,-
J1357-62,31 ± 5,-,2.5 ± 0.4,pl
J1357-6429,1.0 ± 0.3,0.52 ± 0.03,0.15 ± 0.02,pl
J1359-6038,57 ± 3,12.5 ± 0.6,2.1 ± 0.1,broken pl
J1401-6357,20 ± 6,-,1.9 ± 0.6,pl
J1406-6121,< 0.3,0.44 ± 0.03,0.31 ± 0.02,pl
J1410-6132,< 0.2,1.9 ± 0.1,1.79 ± 0.09,lps
J1412-6145,< 0.3,0.69 ± 0.04,0.2 ± 0.01,pl
J1413-6141,< 0.4,0.82 ± 0.04,0.49 ± 0.03,pl
J1413-6222,< 0.2,-,0.45 ± 0.06,-
J1413-6307,3.0 ± 0.8,-,0.5 ± 0.1,pl
J1415-6621,1.3 ± 0.2,-,< 0.2,-
J1420-5416,< 200.0,-,< 6.0,-
J1420-6048,< 1.0,1.19 ± 0.06,0.9 ± 0.05,pl
J1424-5822,4.3 ± 0.7,-,0.29 ± 0.06,pl
J1452-5851,0.6 ± 0.3,0.33 ± 0.02,0.123 ± 0.008,pl
J1452-6036,1.8 ± 0.2,1.9 ± 0.1,0.76 ± 0.05,pl
J1453-6413,80 ± 10,18.0 ± 1.0,2.4 ± 0.5,broken pl
J1507-6640,< 20.0,-,< 2.0,pl
J1509-5850,-,0.21 ± 0.01,< 0.05,-
J1512-5759,16.8 ± 0.9,7.8 ± 0.4,1.24 ± 0.06,lps
J1513-5739,0.07 ± 0.06,-,< 10.0,-
J1513-5908,3.3 ± 0.3,1.43 ± 0.07,0.35 ± 0.03,pl
J1514-5925,< 0.4,0.29 ± 0.02,0.16 ± 0.01,-
J1515-5720,1.04 ± 0.07,0.25 ± 0.01,0.08 ± 0.01,pl
J1522-5829,30 ± 6,-,5.0 ± 1.0,broken pl
J1524-5625,1.8 ± 0.5,1.28 ± 0.07,0.55 ± 0.03,pl
J1524-5706,0.17 ± 0.04,0.45 ± 0.02,0.14 ± 0.02,pl
J1527-5552,< 200.0,-,< 8.0,-
J1530-5327,1.6 ± 0.4,0.92 ± 0.06,0.41 ± 0.06,pl
J1531-5610,< 0.4,0.87 ± 0.05,0.6 ± 0.04,pl
J1534-5405,6.0 ± 1.0,-,0.21 ± 0.05,pl
J1536-5433,< 80.0,-,1.3 ± 0.4,-
J1538-5551,< 0.7,0.33 ± 0.02,0.1 ± 0.01,-
J1539-5626,7.6 ± 0.8,5.0 ± 0.3,2.1 ± 0.1,pl
J1541-5535,< 0.1,0.3 ± 0.02,0.17 ± 0.01,-
J1543-5459,< 0.3,0.81 ± 0.04,0.21 ± 0.02,-
J1548-4927,2.2 ± 0.5,-,0.2 ± 0.06,pl
J1548-5607,3.1 ± 0.4,1.39 ± 0.07,0.3 ± 0.02,pl
J1549-4848,4.1 ± 0.7,1.6 ± 0.1,0.25 ± 0.04,pl
J1551-5310,< 0.9,0.72 ± 0.04,0.24 ± 0.01,-
J1600-5044,84 ± 5,21.0 ± 1.0,3.6 ± 0.2,pl
J1600-5751,9.2 ± 0.5,2.5 ± 0.1,0.54 ± 0.07,pl
J1601-5335,0.5 ± 0.1,0.25 ± 0.02,0.06 ± 0.01,pl
J1604-4909,23 ± 6,-,2.7 ± 0.8,pl
J1610-5303,2.6 ± 0.4,-,< 0.01,-
J1611-4949,< 1.0,-,0.34 ± 0.05,-
J1611-5209,2.6 ± 0.2,1.45 ± 0.09,0.49 ± 0.07,pl
J1613-4714,8 ± 2,-,0.36 ± 0.09,pl
J1614-5048,6.0 ± 1.0,4.1 ± 0.2,0.67 ± 0.04,pl
J1617-5055,< 0.1,0.27 ± 0.02,0.24 ± 0.01,-
J1618-4723,2.2 ± 0.5,-,< 0.03,-
J1622-4802,-,-,0.32 ± 0.06,pl
J1625-4048,3.3 ± 0.8,-,< 1.0,-
J1626-4537,4.4 ± 0.9,-,0.29 ± 0.06,pl
J1626-4807,< 0.3,0.37 ± 0.02,0.26 ± 0.02,-
J1627-4706,< 0.09,0.18 ± 0.01,0.061 ± 0.005,-
J1630-4733,< 1.0,-,3.4 ± 0.4,pl
J1632-4621,-,-,0.21 ± 0.02,pl
J1632-4757,< 0.3,0.51 ± 0.03,0.2 ± 0.01,-
J1632-4818,< 0.1,0.48 ± 0.03,0.101 ± 0.006,-
J1633-5015,27 ± 4,-,1.2 ± 0.2,pl
J1635-5954,3.4 ± 0.8,-,0.4 ± 0.1,lps
J1636-4440,< 0.2,0.29 ± 0.02,0.16 ± 0.02,-
J1636-4803,-,-,0.37 ± 0.04,pl
J1637-4553,3.0 ± 0.4,1.5 ± 0.09,0.37 ± 0.03,pl
J1637-4642,< 0.2,0.93 ± 0.05,0.53 ± 0.03,pl
J1638-4417,< 0.08,0.3 ± 0.02,0.07 ± 0.02,-
J1638-4608,< 0.3,0.45 ± 0.02,0.121 ± 0.009,-
J1639-4359,4.9 ± 0.9,-,0.19 ± 0.04,pl
J1639-4604,4.9 ± 0.9,-,0.15 ± 0.03,pl
J1640-4715,4 ± 2,1.56 ± 0.08,0.6 ± 0.03,pl
J1643-4505,< 0.4,0.45 ± 0.02,0.27 ± 0.02,pl
J1644-4559,1200 ± 60,300 ± 60,61 ± 3,low turn-over
J1646-4346,< 0.4,1.25 ± 0.08,0.39 ± 0.04,pl
J1646-6831,8 ± 2,-,0.7 ± 0.4,pl
J1648-4611,< 0.07,0.61 ± 0.03,0.46 ± 0.03,-
J1649-4349,-,-,< 0.07,-
J1649-4653,< 0.1,0.37 ± 0.02,0.13 ± 0.01,pl
J1650-4502,< 2.0,0.61 ± 0.04,0.27 ± 0.03,-
J1650-4921,< 0.3,0.29 ± 0.02,0.31 ± 0.03,pl
J1651-4246,80 ± 8,-,2.8 ± 0.3,low turn-over
J1651-5222,11 ± 3,-,1.7 ± 0.4,pl
J1651-5255,9 ± 2,-,0.7 ± 0.2,broken pl
J1653-3838,2.6 ± 0.5,-,0.9 ± 0.2,pl
J1653-4249,0.28 ± 0.06,-,2.0 ± 1.0,pl
J1654-4140,< 5.0,-,0.1 ± 0.02,-
J1658-4958,3.7 ± 0.8,-,0.23 ± 0.06,lps
J1700-3312,3.9 ± 0.9,-,0.31 ± 0.08,pl
J1701-3726,14 ± 2,-,0.9 ± 0.2,pl
J1701-4533,5.2 ± 0.7,-,0.6 ± 0.1,pl
J1702-4128,< 1.0,1.17 ± 0.07,0.94 ± 0.06,pl
J1702-4306,-,0.46 ± 0.04,-,-
J1702-4310,-,0.92 ± 0.06,0.42 ± 0.07,pl
J1703-3241,30 ± 8,-,1.9 ± 0.6,lps
J1703-4851,5.0 ± 1.0,-,< 0.09,pl
J1704-6016,< 0.1,-,-,-
J1705-3423,15 ± 4,-,1.6 ± 0.4,pl
J1705-3950,-,1.6 ± 0.1,1.1 ± 0.2,lps
J1705-4108,-,-,1.0 ± 0.1,pl
J1707-4053,22 ± 4,-,1.5 ± 0.3,hard-ut-off
J1707-4729,< 2.0,-,0.8 ± 0.2,pl
J1708-3426,9 ± 2,-,0.24 ± 0.06,pl
J1709-4429,-,12.1 ± 0.7,5.0 ± 1.0,pl
J1711-5350,4.0 ± 1.0,-,0.19 ± 0.06,pl
J1715-3903,-,0.66 ± 0.05,0.33 ± 0.04,-
J1715-4034,6.0 ± 1.0,-,0.26 ± 0.06,pl
J1717-3425,19 ± 2,-,0.6 ± 0.09,pl
J1717-4054,20 ± 3,< 0.06,1.0 ± 0.2,pl
J1718-3825,-,1.7 ± 0.1,1.1 ± 0.2,pl
J1719-4006,3.6 ± 0.6,-,0.41 ± 0.07,pl
J1720-1633,5 ± 2,-,< 0.1,pl
J1721-3532,-,16.8 ± 0.9,8.0 ± 0.7,pl
J1722-3207,17 ± 4,-,1.1 ± 0.3,pl
J1722-3712,-,3.8 ± 0.3,0.6 ± 0.2,pl
J1723-3659,-,2.1 ± 0.1,0.71 ± 0.09,lps
J1726-3530,-,0.39 ± 0.03,0.18 ± 0.06,-
J1727-2739,7 ± 2,-,0.7 ± 0.2,lps
J1730-2304,6 ± 3,3.0 ± 1.0,0.1 ± 0.1,pl
J1730-3350,-,4.3 ± 0.2,0.9 ± 0.1,pl
J1731-4744,-,27 ± 3,7 ± 2,lps
J1733-3322,< 0.2,-,0.35 ± 0.06,pl
J1733-3716,-,3.6 ± 0.2,2.1 ± 0.3,pl
J1734-3333,-,0.49 ± 0.06,0.37 ± 0.08,pl
J1735-3258,-,0.35 ± 0.06,0.39 ± 0.05,pl
J1737-3137,-,0.88 ± 0.06,0.2 ± 0.02,pl
J1737-3555,2.5 ± 0.8,-,0.28 ± 0.09,pl
J1738-2955,-,0.24 ± 0.02,0.04 ± 0.01,-
J1738-3211,5 ± 2,-,0.8 ± 0.4,pl
J1739-2903,-,4.5 ± 0.3,1.4 ± 0.3,pl
J1739-3023,-,1.01 ± 0.07,0.16 ± 0.03,pl
J1740-3015,18 ± 2,8.9 ± 0.5,3.4 ± 0.2,pl
J1741-2733,6 ± 2,-,< 0.2,pl
J1741-3016,-,-,0.29 ± 0.05,pl
J1741-3927,19 ± 3,-,2.0 ± 0.4,pl
J1743-3150,9 ± 2,-,0.31 ± 0.08,broken pl
J1744-1134,12 ± 9,13 ± 8,0.3 ± 0.3,pl
J1744-3130,1.8 ± 0.4,-,0.35 ± 0.08,pl
J1745-3040,-,21.0 ± 1.0,4.2 ± 0.7,lps
J1748-1300,11 ± 2,-,0.3 ± 0.2,pl
J1749-3002,11 ± 2,-,1.0 ± 0.2,pl
J1751-3323,1.5 ± 0.2,-,0.9 ± 0.1,broken pl
J1751-4657,30 ± 10,-,0.4 ± 0.2,hard-ut-off
J1752-2806,350 ± 50,-,5 ± 2,lps
J1755-2521,< 1.0,-,-,-
J1756-2435,6.0 ± 1.0,-,0.4 ± 0.07,pl
J1757-2223,-,-,0.34 ± 0.08,pl
J1757-2421,-,7.2 ± 0.4,2.2 ± 0.3,pl
J1758-2630,-,-,< 0.03,-
J1759-1956,1.7 ± 0.3,-,0.1 ± 0.02,pl
J1759-2205,-,-,0.5 ± 0.1,pl
J1759-3107,4.0 ± 0.7,-,0.38 ± 0.09,pl
J1801-2154,-,0.21 ± 0.02,0.069 ± 0.009,-
J1801-2304,-,7.0 ± 0.5,1.6 ± 0.1,pl
J1801-2451,-,1.46 ± 0.09,0.22 ± 0.03,pl
J1801-2920,7.0 ± 1.0,-,0.42 ± 0.08,pl
J1803-1857,< 5.0,-,< 0.3,-
J1803-2137,-,15.0 ± 1.0,8.0 ± 1.0,low turn-over
J1805-1504,14 ± 3,-,-,pl
J1806-1154,8 ± 2,-,0.4 ± 0.1,broken pl
J1806-2125,-,0.8 ± 0.04,0.16 ± 0.02,pl
J1807-0847,34 ± 6,-,4.0 ± 1.0,pl
J1807-2459A,< 0.2,-,0.3 ± 0.1,-
J1808-0813,7.0 ± 1.0,-,0.23 ± 0.04,pl
J1808-2057,16 ± 2,-,1.0 ± 0.1,pl
J1809-1429,3.5 ± 0.5,-,0.24 ± 0.04,pl
J1809-1917,-,2.8 ± 0.2,2.1 ± 0.3,pl
J1809-2109,-,-,0.28 ± 0.05,pl
J1809-3547,20 ± 10,-,-,-
J1810-5338,12 ± 3,-,0.5 ± 0.2,pl
J1812-1718,-,-,0.2 ± 0.04,pl
J1812-1733,11 ± 2,-,1.0 ± 0.1,lps
J1812-1910,-,0.28 ± 0.02,0.076 ± 0.009,-
J1812-2102,-,-,0.51 ± 0.08,pl
J1815-1738,-,0.4 ± 0.03,0.14 ± 0.02,pl
J1817-3618,7 ± 4,-,0.4 ± 0.2,pl
J1817-3837,9 ± 4,-,0.6 ± 0.1,pl
J1818-1519,< 0.2,-,< 0.02,-
J1820-1529,-,0.83 ± 0.08,0.23 ± 0.02,pl
J1822-2256,16 ± 4,-,1.0 ± 0.3,pl
J1822-4209,2.3 ± 0.8,-,0.3 ± 0.1,pl
J1823-1115,11.0 ± 1.0,-,1.0 ± 0.1,pl
J1823-3106,11 ± 3,-,1.2 ± 0.4,pl
J1824-1118,6.2 ± 0.8,-,0.44 ± 0.07,pl
J1824-1945,-,7.8 ± 0.4,1.3 ± 0.2,lps
J1825-1446,-,2.9 ± 0.2,1.9 ± 0.3,lps
J1826-1334,-,4.7 ± 0.2,3.0 ± 0.4,lps
J1827-0750,7.0 ± 1.0,-,0.7 ± 0.1,pl
J1828-0611,3.6 ± 0.6,-,0.43 ± 0.08,pl
J1828-1057,-,0.33 ± 0.04,0.17 ± 0.03,-
J1828-1101,-,2.3 ± 0.2,1.4 ± 0.2,pl
J1829-1751,28 ± 6,-,3.0 ± 0.7,pl
J1830-1059,-,1.5 ± 0.1,0.6 ± 0.1,lps
J1831-0823,3.4 ± 0.7,-,0.21 ± 0.05,pl
J1831-0952,-,0.35 ± 0.04,-,-
J1831-1223,3.7 ± 0.6,-,0.24 ± 0.05,pl
J1832-0644,< 0.1,-,1.5 ± 0.2,pl
J1832-0827,-,4.0 ± 0.3,1.5 ± 0.2,lps
J1833-0338,14 ± 3,-,0.35 ± 0.05,pl
J1833-0827,-,6.9 ± 0.4,1.9 ± 0.2,pl
J1834-0731,-,1.3 ± 0.1,0.37 ± 0.05,pl
J1834-1710,4.0 ± 1.0,-,0.17 ± 0.05,pl
J1835-0643,-,2.3 ± 0.2,0.6 ± 0.2,lps
J1835-1020,-,-,0.9 ± 0.3,lps
J1835-1106,-,2.5 ± 0.2,0.5 ± 0.1,pl
J1836-0436,3.3 ± 0.7,-,0.7 ± 0.2,pl
J1836-1008,-,-,0.5 ± 0.1,lps
J1837-0559,-,0.58 ± 0.04,0.13 ± 0.02,pl
J1837-0604,-,0.75 ± 0.06,0.38 ± 0.04,pl
J1837-0653,13 ± 2,-,0.8 ± 0.2,pl
J1838-0453,-,0.4 ± 0.05,0.09 ± 0.01,-
J1838-0549,-,0.42 ± 0.04,0.14 ± 0.02,-
J1839-0321,-,0.27 ± 0.03,0.066 ± 0.009,-
J1839-0643,< 2.0,-,0.56 ± 0.09,pl
J1839-0905,-,0.22 ± 0.02,0.11 ± 0.02,-
J1840-0809,5.0 ± 0.8,-,0.8 ± 0.1,pl
J1840-0815,9 ± 2,-,0.5 ± 0.1,pl
J1841-0425,-,3.3 ± 0.2,0.72 ± 0.09,pl
J1841-0524,-,0.2 ± 0.04,0.048 ± 0.007,-
J1842-0153,1.4 ± 0.2,-,0.15 ± 0.03,pl
J1842-0359,36 ± 8,-,3.4 ± 0.8,pl
J1842-0905,-,1.04 ± 0.07,0.32 ± 0.05,pl
J1843-0000,10 ± 3,-,1.2 ± 0.4,pl
J1843-0211,2.0 ± 0.3,-,0.31 ± 0.05,lps
J1843-0355,-,0.89 ± 0.07,0.54 ± 0.05,pl
J1843-0459,4.1 ± 0.6,-,0.21 ± 0.04,pl
J1843-0702,-,0.27 ± 0.04,< 0.06,-
J1844-0256,-,0.59 ± 0.06,0.35 ± 0.03,-
J1844-0433,16 ± 4,-,0.24 ± 0.07,pl
J1844-0538,-,3.2 ± 0.2,0.55 ± 0.07,pl
J1845-0743,-,3.7 ± 0.2,0.9 ± 0.1,pl
J1845-1114,0.8 ± 0.2,-,0.3 ± 0.07,-
J1847-0402,-,4.9 ± 0.3,1.4 ± 0.2,lps
J1847-0438,< 0.2,-,0.15 ± 0.03,pl
J1847-0605,< 3.0,-,< 0.2,-
J1848-0123,40 ± 10,-,3.1 ± 0.8,pl
J1848-1414,1.7 ± 0.4,-,0.07 ± 0.02,pl
J1849-0636,7 ± 2,-,0.23 ± 0.06,pl
J1850-0026,< 0.1,-,0.6 ± 0.08,-
J1852-0635,11 ± 2,-,10 ± 2,broken pl
J1852-2610,1.9 ± 0.7,-,-,-
J1853+0545,< 0.3,-,1.1 ± 0.3,pl
J1853-0004,-,0.7 ± 0.1,0.17 ± 0.02,pl
J1854-1421,9 ± 2,-,0.5 ± 0.1,pl
J1855+0307,1.9 ± 0.2,-,0.23 ± 0.05,pl
J1856+0404,-,-,< 1.0,-
J1857+0212,5.6 ± 0.8,-,0.8 ± 0.1,lps
J1900-2600,50 ± 20,-,2.1 ± 0.7,broken pl
J1900-7951,4 ± 2,-,< 0.1,-
J1901+0331,39 ± 6,-,0.9 ± 0.2,pl
