Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,S888,e_S888,S400,e_S400,S1400,e_S1400,DSError,S150,e_S150,S200,e_S200,S3000,e_S3000,alpha,e_alpha
J2004+3137,20,04,52.2,+,31,37,13,6.979,0.467,14.5,0.9,1.8,0.1,0.008,,,,,,,-1.62,0.066
J2006-0807,20,06,16.3,-,08,07,02,9.734,0.382,20.0,3.0,4.7,0.9,1.097,,,,,,,-1.03,0.174
J2013+3845,20,13,10.3,+,38,45,42,9.18,1.117,26.0,1.0,6.4,0.5,0.009,,,,,2.7,0.252,-1.14,0.067
J2018+2839,20,18,03.8,+,28,39,54,53.595,1.102,314.0,30.0,30.0,13.0,8.608,282.0,10.2,,,,,-2.2,0.121
J2029+3744,20,29,23.8,+,37,44,03,3.256,0.847,18.0,2.0,0.6,0.1,0.01,132.0,14.1,,,,,-2.66,0.156
J2046+1540,20,46,39.2,+,15,40,32,3.371,0.479,11.5,0.9,1.7,0.3,0.132,,,,,,,-1.53,0.134
J2046-0421,20,46,00.2,-,04,21,26,3.51,0.607,20.0,1.0,1.7,0.5,0.248,26.2,4.7,,,,,-2.08,0.168
J2048-1616,20,48,35.7,-,16,16,44,55.716,0.47,116.0,26.0,22.0,4.4,22.869,360.1,9.9,169.0,8.0,1.58,0.252,-1.25,0.237
J2055+3630,20,55,31.4,+,36,30,22,7.615,0.938,28.0,1.0,2.6,0.1,0.011,64.4,6.7,,,,,-1.89,0.042
J2113+2754,21,13,04.3,+,27,54,00,7.431,0.606,18.0,3.0,1.1,0.2,1.607,,,,,,,-1.9,0.189
J2116+1414,21,16,13.7,+,14,14,20,2.664,0.292,9.0,1.0,0.8,0.2,0.111,,,,,1.29,0.256,-1.7,0.165
J2124-3358,21,24,43.9,-,33,58,45,8.161,0.517,17.0,4.0,4.5,0.2,5.582,,,,,2.07,0.433,-1.2,0.134
J2129-5721,21,29,22.6,-,57,21,14,2.42,0.333,14.0,2.0,0.97,0.07,0.193,,,,,,,-2.12,0.126
J2155-3118,21,55,13.6,-,31,18,54,3.269,0.437,12.0,2.0,0.66,0.02,0.611,32.0,6.2,46.0,6.0,,,-2.5,0.125
J2157+4017,21,57,01.9,+,40,17,46,46.376,1.085,105.0,7.0,17.0,2.0,1.015,87.3,9.0,,,2.76,0.197,-1.16,0.082
J2305+3100,23,05,58.4,+,31,00,01,8.605,0.571,24.0,2.0,2.2,0.5,0.243,41.9,3.6,,,1.3,0.308,-1.45,0.122
J2317+2149,23,17,57.9,+,21,49,51,3.897,0.745,15.0,3.0,0.9,0.5,0.943,,,,,,,-1.86,0.309
J2330-2005,23,30,27.0,-,20,05,30,10.167,0.488,42.0,8.0,2.9,0.6,2.116,197.7,6.2,,,,,-2.0,0.213
